Idade,Mulheres,Homens
100 anos ou mais,"0,01%","0,01%"
95 a 99 anos,"0,06%","0,02%"
90 a 94 anos,"0,19%","0,10%"
85 a 89 anos,"0,41%","0,24%"
80 a 84 anos,"0,72%","0,50%"
75 a 79 anos,"1,08%","0,82%"
70 a 74 anos,"1,60%","1,29%"
65 a 69 anos,"2,11%","1,77%"
60 a 64 anos,"2,63%","2,27%"
55 a 59 anos,"3,03%","2,67%"
50 a 54 anos,"3,24%","2,96%"
45 a 49 anos,"3,49%","3,22%"
40 a 44 anos,"4,08%","3,83%"
35 a 39 anos,"4,11%","3,85%"
30 a 34 anos,"3,91%","3,71%"
25 a 29 anos,"3,86%","3,76%"
20 a 24 anos,"3,79%","3,82%"
15 a 19 anos,"3,48%","3,60%"
10 a 14 anos,"3,29%","3,44%"
5 a 9 anos,"3,32%","3,45%"
0 a 4 anos,"3,07%","3,18%"
